id|review-parts|review-rating
0|Ein|no_rating_yet
0|cooles|no_rating_yet
0|Spiel,|no_rating_yet
0|welches|no_rating_yet
0|ziemlich|no_rating_yet
0|süchtig|no_rating_yet
0|macht.|no_rating_yet
0|Habe|no_rating_yet
0|nun|no_rating_yet
0|die|no_rating_yet
0|ersten|no_rating_yet
0|50|no_rating_yet
0|Level|no_rating_yet
0|geschafft.|no_rating_yet
0|Muss|no_rating_yet
0|jedoch|no_rating_yet
0|sagen|no_rating_yet
0|dass|no_rating_yet
0|das|no_rating_yet
0|Spiel|no_rating_yet
0|ein|no_rating_yet
0|wenig|no_rating_yet
0|eintönig|no_rating_yet
0|wird.|no_rating_yet
0|Die|no_rating_yet
0|Steuerung|no_rating_yet
0|finde|no_rating_yet
0|ich|no_rating_yet
0|gut.|no_rating_yet
0|Sie|no_rating_yet
0|ist|no_rating_yet
0|simple|no_rating_yet
0|und|no_rating_yet
0|besteht|no_rating_yet
0|aus|no_rating_yet
0|nur|no_rating_yet
0|zwei|no_rating_yet
0|Komponenten:|no_rating_yet
0|dem|no_rating_yet
0|Rückwärts|no_rating_yet
0|laufen|no_rating_yet
0|und|no_rating_yet
0|Speer|no_rating_yet
0|werfen.|no_rating_yet
0|Das|no_rating_yet
0|komplette|no_rating_yet
0|Design|no_rating_yet
0|ist|no_rating_yet
0|simple,|no_rating_yet
0|aber|no_rating_yet
0|schön|no_rating_yet
0|und|no_rating_yet
0|alle|no_rating_yet
0|Elemente|no_rating_yet
0|harmonieren|no_rating_yet
0|wunderbar|no_rating_yet
0|miteinander.|no_rating_yet
0|Auf|no_rating_yet
0|jeden|no_rating_yet
0|Fall|no_rating_yet
0|empfehlenswert!|no_rating_yet
1|Ich|no_rating_yet
1|sehe|no_rating_yet
1|großes|no_rating_yet
1|Potential|no_rating_yet
1|darin.|no_rating_yet
1|An|no_rating_yet
1|sich|no_rating_yet
1|macht|no_rating_yet
1|es|no_rating_yet
1|für|no_rating_yet
1|Zwischendurch|no_rating_yet
1|sehr|no_rating_yet
1|Spaß|no_rating_yet
1|und|no_rating_yet
1|kann|no_rating_yet
1|unterhalten.|no_rating_yet
1|Sogar|no_rating_yet
1|das|no_rating_yet
1|Movement|no_rating_yet
1|ist|no_rating_yet
1|ziemlich|no_rating_yet
1|einfach|no_rating_yet
1|uns|no_rating_yet
1|handlich|no_rating_yet
1|und|no_rating_yet
1|die|no_rating_yet
1|Grafik,|no_rating_yet
1|bzw.|no_rating_yet
1|Das|no_rating_yet
1|Design|no_rating_yet
1|gefällt|no_rating_yet
1|mir|no_rating_yet
1|auch|no_rating_yet
